,issue_number,issue_title,description,issue_url,issue_state,creator,labels,owner,component,text,owner_id
8,26,Solve the 'inline' consternation,"The [definition of JITINLINE]( as well potentially other places in the code, causes consternation. Specifically, if you compile C files with newer C compilers, JITINLINE doesn't emit a symbol, causing compilation failures such as ../tr.source/trj9/runtime/MethodMetaData.h:366:18: error: inline function ‘getByteCodeInfoFromStackMap’ declared but never defined [-Werror]
This has been worked around previously by forcing newer C compilers to use the old standard, but this really should be resolved once and for all, and likely, across the whole codebase.",https://github.com/eclipse-openj9/openj9/issues/26,open,mgaudet,comp:jit,tajila,comp:jit,"Bug Title: Solve the 'inline' consternation
Bug Description: The [definition of JITINLINE]( as well potentially other places in the code, causes consternation. Specifically, if you compile C files with newer C compilers, JITINLINE doesn't emit a symbol, causing compilation failures such as ../tr.source/trj9/runtime/MethodMetaData.h:366:18: error: inline function ‘getByteCodeInfoFromStackMap’ declared but never defined [-Werror]
This has been worked around previously by forcing newer C compilers to use the old standard, but this really should be resolved once and for all, and likely, across the whole codebase.",14
10,30,cpu entitlement when hypervisor is present ,"I believe there are two problems in JIT with respect to getting cpu entitlement information from hypervisor:
1) I noticed this code in `TR_CpuEntitlement::computeAndCacheCpuEntitlement`
 if (_numTargetCpu == 0)
 _numTargetCpu = 1; // some correction in case we get it wrong
 if (isHypervisorPresent())
 {
 _guestCpuEntitlement = computeGuestCpuEntitlement();
 // If the number of target CPUs is smaller (bind the JVM to a subset of CPUs), use that value
 if (_numTargetCpu < _guestCpuEntitlement || _guestCpuEntitlement <= 0)
It looks like _guestCpuEntitlement is in percentage, but _numTargetCpu is not. The condition `_numTargetCpu < _guestCpuEntitlement` is likely to be comparing incorrect values in that case.
2) Secondly, it appears `TR_CpuEntitlement::isHypervisorPresent` will always returns false, no matter what.
bool TR_CpuEntitlement::isHypervisorPresent()
 {
 if (_hypervisorPresent == TR_maybe)
 {
 // Caching works because we don't expect the information to change
 // However, we must call this after portlib is up and running
 PORT_ACCESS_FROM_JITCONFIG(_jitConfig);
 if (j9hypervisor_hypervisor_present() > 0) // J9HYPERVISOR_NOT_PRESENT/J9HYPERVISOR_PRESENT/J9PORT_ERROR_HYPERVISOR_UNSUPPORTED
 {
 _hypervisorPresent = TR_yes;
 }
 else
 {
 _hypervisorPresent = TR_no;
 }
 }
 return (_hypervisorPresent == TR_yes);
 }
`_hypervisorPresent` gets a default value of `TR_no`. I don't see it ever getting set to `TR_maybe` which means `isHypervisorPresent` will always return `false`.
I hope I have not missed anything here.
@mpirvu, any idea why is it like this? It appears this is just dead code right now.",https://github.com/eclipse-openj9/openj9/issues/30,closed,ashu-mehra,"bug, comp:jit",tajila,comp:jit,"Bug Title: cpu entitlement when hypervisor is present 
Bug Description: I believe there are two problems in JIT with respect to getting cpu entitlement information from hypervisor:
1) I noticed this code in `TR_CpuEntitlement::computeAndCacheCpuEntitlement`
 if (_numTargetCpu == 0)
 _numTargetCpu = 1; // some correction in case we get it wrong
 if (isHypervisorPresent())
 {
 _guestCpuEntitlement = computeGuestCpuEntitlement();
 // If the number of target CPUs is smaller (bind the JVM to a subset of CPUs), use that value
 if (_numTargetCpu < _guestCpuEntitlement || _guestCpuEntitlement <= 0)
It looks like _guestCpuEntitlement is in percentage, but _numTargetCpu is not. The condition `_numTargetCpu < _guestCpuEntitlement` is likely to be comparing incorrect values in that case.
2) Secondly, it appears `TR_CpuEntitlement::isHypervisorPresent` will always returns false, no matter what.
bool TR_CpuEntitlement::isHypervisorPresent()
 {
 if (_hypervisorPresent == TR_maybe)
 {
 // Caching works because we don't expect the information to change
 // However, we must call this after portlib is up and running
 PORT_ACCESS_FROM_JITCONFIG(_jitConfig);
 if (j9hypervisor_hypervisor_present() > 0) // J9HYPERVISOR_NOT_PRESENT/J9HYPERVISOR_PRESENT/J9PORT_ERROR_HYPERVISOR_UNSUPPORTED
 {
 _hypervisorPresent = TR_yes;
 }
 else
 {
 _hypervisorPresent = TR_no;
 }
 }
 return (_hypervisorPresent == TR_yes);
 }
`_hypervisorPresent` gets a default value of `TR_no`. I don't see it ever getting set to `TR_maybe` which means `isHypervisorPresent` will always return `false`.
I hope I have not missed anything here.
@mpirvu, any idea why is it like this? It appears this is just dead code right now.",14
11,32,StackOverflow #OpenJ9 tag doesn't exist,"The [OpenJ9 landing page]( points to a [StackOverflow search for the OpenJ9 tag]( however, when I tried to submit a question with the OpenJ9 tag, StackOverflow said that I need to have at least 1,500 reputation to create a new tag.",https://github.com/eclipse-openj9/openj9/issues/32,closed,kgibm,,tajila,,"Bug Title: StackOverflow #OpenJ9 tag doesn't exist
Bug Description: The [OpenJ9 landing page]( points to a [StackOverflow search for the OpenJ9 tag]( however, when I tried to submit a question with the OpenJ9 tag, StackOverflow said that I need to have at least 1,500 reputation to create a new tag.",14
12,33,document tr.jit options,"It would be worthwhile to document the hidden treasures of trjjit optimizations (a significant portion of j9options.cpp) for:
- Users to gain insight into the (so far) under-documented tr jit features, take advantage of it by applying fine grained compiler customizations based on the specific environment and workload.
- Community members to better acquiant with the optimizations, hack around with the code with ease, get upto speed for large scale collaboration.",https://github.com/eclipse-openj9/openj9/issues/33,closed,gireeshpunathil,comp:doc,tajila,comp:doc,"Bug Title: document tr.jit options
Bug Description: It would be worthwhile to document the hidden treasures of trjjit optimizations (a significant portion of j9options.cpp) for:
- Users to gain insight into the (so far) under-documented tr jit features, take advantage of it by applying fine grained compiler customizations based on the specific environment and workload.
- Community members to better acquiant with the optimizations, hack around with the code with ease, get upto speed for large scale collaboration.",14
13,36,Supporting OS X Mac builds,It has been pointed out that Eclipse OpenJ9 does not yet have OS X builds. Eclipse OMR provides OS X support. In this issue we can discuss what would be needed.,https://github.com/eclipse-openj9/openj9/issues/36,closed,mstoodle,"enhancement, help wanted, doc:externals, userRaised, Epic",tajila,,"Bug Title: Supporting OS X Mac builds
Bug Description: It has been pointed out that Eclipse OpenJ9 does not yet have OS X builds. Eclipse OMR provides OS X support. In this issue we can discuss what would be needed.",14
14,37,would you please add an ubuntu ppa for openj9?,would you please add an ubuntu ppa for openj9?,https://github.com/eclipse-openj9/openj9/issues/37,closed,ghost,,tajila,,"Bug Title: would you please add an ubuntu ppa for openj9?
Bug Description: would you please add an ubuntu ppa for openj9?",14
15,38,would you please publish docker image on hub.docker.com?,"would you please publish docker image on hub.docker.com?
We want to try openj9 with docker",https://github.com/eclipse-openj9/openj9/issues/38,closed,ghost,,tajila,,"Bug Title: would you please publish docker image on hub.docker.com?
Bug Description: would you please publish docker image on hub.docker.com?
We want to try openj9 with docker",14
16,39,OpenJ9 is 2 seconds slower than Azul openjdk9 when running this mandelbrot bench...,"I compared [Azul OpenJDK9]( with [OpenJ9]( to test the performance of OpenJ9 against relatively standard OpenJDK, and found that it is around 2 seconds slower to run the bench. [MandelbrotBench.tar.gz](
My system is Fedora 26, and my OpenJ9 -version is openjdk 9-internal
OpenJDK Runtime Environment (build 9-internal+0-adhoc.jenkins.openjdk)
Eclipse OpenJ9 VM (build 2.9, JRE 9 Linux amd64-64 Compressed References 20170915_6 (JIT enabled, AOT enabled)
J9VM - cea1ed7
JIT - cea1ed7
OMR - 617de12
OpenJDK - 83f5cd0 based on )",https://github.com/eclipse-openj9/openj9/issues/39,closed,markehammons,"perf, userRaised",tajila,,"Bug Title: OpenJ9 is 2 seconds slower than Azul openjdk9 when running this mandelbrot bench...
Bug Description: I compared [Azul OpenJDK9]( with [OpenJ9]( to test the performance of OpenJ9 against relatively standard OpenJDK, and found that it is around 2 seconds slower to run the bench. [MandelbrotBench.tar.gz](
My system is Fedora 26, and my OpenJ9 -version is openjdk 9-internal
OpenJDK Runtime Environment (build 9-internal+0-adhoc.jenkins.openjdk)
Eclipse OpenJ9 VM (build 2.9, JRE 9 Linux amd64-64 Compressed References 20170915_6 (JIT enabled, AOT enabled)
J9VM - cea1ed7
JIT - cea1ed7
OMR - 617de12
OpenJDK - 83f5cd0 based on )",14
18,41,OpenJ9 does not work with IntellijIDEA OSS from jetbrains,"When I try to launch IntellijIDEA with the OpenJ9 JRE, I get the following error:
Internal error. Please report to io.netty.channel.ChannelException: Unable to create Channel from class class io.netty.channel.socket.nio.NioServerSocketChannel
 at io.netty.channel.ReflectiveChannelFactory.newChannel(ReflectiveChannelFactory.java:40)
 at io.netty.bootstrap.AbstractBootstrap.initAndRegister(AbstractBootstrap.java:321)
 at io.netty.bootstrap.AbstractBootstrap.doBind(AbstractBootstrap.java:283)
 at io.netty.bootstrap.AbstractBootstrap.bind(AbstractBootstrap.java:279)
 at io.netty.bootstrap.AbstractBootstrap.bind(AbstractBootstrap.java:268)
 at org.jetbrains.io.BuiltInServer.bind(BuiltInServer.java:149)
 at org.jetbrains.io.BuiltInServer.start(BuiltInServer.java:118)
 at org.jetbrains.io.BuiltInServer.startNioOrOio(BuiltInServer.java:105)
 at com.intellij.idea.SocketLock.lambda$lock$2(SocketLock.java:153)
 at com.intellij.idea.SocketLock$$Lambda$189.<hex>.call(Unknown Source)
 at com.intellij.idea.SocketLock.underLocks(SocketLock.java:181)
 at com.intellij.idea.SocketLock.lock(SocketLock.java:128)
 at com.intellij.idea.StartupUtil.lockSystemFolders(StartupUtil.java:286)
 at com.intellij.idea.StartupUtil.prepareAndStart(StartupUtil.java:122)
 at com.intellij.idea.MainImpl.start(MainImpl.java:34)
 at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(java.base@9-internal/Native Method)
 at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(java.base@9-internal/NativeMethodAccessorImpl.java:62)
 at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(java.base@9-internal/DelegatingMethodAccessorImpl.java:43)
 at java.lang.reflect.Method.invoke(java.base@9-internal/Method.java:564)
 at com.intellij.ide.plugins.PluginManager.lambda$start$0(PluginManager.java:95)
 at com.intellij.ide.plugins.PluginManager$$Lambda$179.<hex>.run(Unknown Source)
 at java.lang.Thread.run(java.base@9-internal/Thread.java:835)
Caused by: java.lang.NoClassDefFoundError: io.netty.buffer.ByteBufAllocator (initialization failure)
 at java.lang.J9VMInternals.initializationAlreadyFailed(java.base@9-internal/J9VMInternals.java:141)
 at io.netty.channel.DefaultChannelConfig.<init>(DefaultChannelConfig.java:56)
 at io.netty.channel.DefaultChannelConfig.<init>(DefaultChannelConfig.java:69)
 at io.netty.channel.socket.DefaultServerSocketChannelConfig.<init>(DefaultServerSocketChannelConfig.java:48)
 at io.netty.channel.socket.nio.NioServerSocketChannel$NioServerSocketChannelConfig.<init>(NioServerSocketChannel.java:195)
 at io.netty.channel.socket.nio.NioServerSocketChannel$NioServerSocketChannelConfig.<init>(NioServerSocketChannel.java:193)
 at io.netty.channel.socket.nio.NioServerSocketChannel.<init>(NioServerSocketChannel.java:87)
 at io.netty.channel.socket.nio.NioServerSocketChannel.<init>(NioServerSocketChannel.java:72)
 at java.lang.J9VMInternals.newInstanceImpl(java.base@9-internal/Native Method)
 at java.lang.Class.newInstance(java.base@9-internal/Class.java:1954)
 at io.netty.channel.ReflectiveChannelFactory.newChannel(ReflectiveChannelFactory.java:38)
 ... 21 more
Caused by: java.lang.UnsupportedOperationException: The method has not yet been implemented for now
 at java.lang.invoke.MethodHandles.privateLookupIn(java.base@9-internal/MethodHandles.java:1538)
 at java.util.concurrent.atomic.Striped64$1.run(java.base@9-internal/Striped64.java:390)
 at java.util.concurrent.atomic.Striped64$1.run(java.base@9-internal/Striped64.java:387)
 at java.security.AccessController.doPrivileged(java.base@9-internal/AccessController.java:638)
 at java.util.concurrent.atomic.Striped64.<clinit>(java.base@9-internal/Striped64.java:386)
 at io.netty.util.internal.PlatformDependent.newLongCounter(PlatformDependent.java:318)
 at io.netty.buffer.PoolArena.<init>(PoolArena.java:67)
 at io.netty.buffer.PoolArena$HeapArena.<init>(PoolArena.java:671)
 at io.netty.buffer.PooledByteBufAllocator.<init>(PooledByteBufAllocator.java:236)
 at io.netty.buffer.PooledByteBufAllocator.<init>(PooledByteBufAllocator.java:187)
 at io.netty.buffer.PooledByteBufAllocator.<init>(PooledByteBufAllocator.java:176)
 at io.netty.buffer.PooledByteBufAllocator.<init>(PooledByteBufAllocator.java:162)
 at io.netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:143)
 at io.netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:79)
 at io.netty.buffer.ByteBufAllocator.<clinit>(ByteBufAllocator.java:24)
 ... 31 more
IntellijIDEA can be downloaded from [here]( I am using the community edition. My OpenJ9 --version is
openjdk 9-internal
OpenJDK Runtime Environment (build 9-internal+0-adhoc.jenkins.openjdk)
Eclipse OpenJ9 VM (build 2.9, JRE 9 Linux amd64-64 Compressed References 20170915_6 (JIT enabled, AOT enabled)
J9VM - cea1ed7
JIT - cea1ed7
OMR - 617de12
OpenJDK - 83f5cd0 based on )",https://github.com/eclipse-openj9/openj9/issues/41,closed,markehammons,bug,tajila,,"Bug Title: OpenJ9 does not work with IntellijIDEA OSS from jetbrains
Bug Description: When I try to launch IntellijIDEA with the OpenJ9 JRE, I get the following error:
Internal error. Please report to io.netty.channel.ChannelException: Unable to create Channel from class class io.netty.channel.socket.nio.NioServerSocketChannel
 at io.netty.channel.ReflectiveChannelFactory.newChannel(ReflectiveChannelFactory.java:40)
 at io.netty.bootstrap.AbstractBootstrap.initAndRegister(AbstractBootstrap.java:321)
 at io.netty.bootstrap.AbstractBootstrap.doBind(AbstractBootstrap.java:283)
 at io.netty.bootstrap.AbstractBootstrap.bind(AbstractBootstrap.java:279)
 at io.netty.bootstrap.AbstractBootstrap.bind(AbstractBootstrap.java:268)
 at org.jetbrains.io.BuiltInServer.bind(BuiltInServer.java:149)
 at org.jetbrains.io.BuiltInServer.start(BuiltInServer.java:118)
 at org.jetbrains.io.BuiltInServer.startNioOrOio(BuiltInServer.java:105)
 at com.intellij.idea.SocketLock.lambda$lock$2(SocketLock.java:153)
 at com.intellij.idea.SocketLock$$Lambda$189.<hex>.call(Unknown Source)
 at com.intellij.idea.SocketLock.underLocks(SocketLock.java:181)
 at com.intellij.idea.SocketLock.lock(SocketLock.java:128)
 at com.intellij.idea.StartupUtil.lockSystemFolders(StartupUtil.java:286)
 at com.intellij.idea.StartupUtil.prepareAndStart(StartupUtil.java:122)
 at com.intellij.idea.MainImpl.start(MainImpl.java:34)
 at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(java.base@9-internal/Native Method)
 at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(java.base@9-internal/NativeMethodAccessorImpl.java:62)
 at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(java.base@9-internal/DelegatingMethodAccessorImpl.java:43)
 at java.lang.reflect.Method.invoke(java.base@9-internal/Method.java:564)
 at com.intellij.ide.plugins.PluginManager.lambda$start$0(PluginManager.java:95)
 at com.intellij.ide.plugins.PluginManager$$Lambda$179.<hex>.run(Unknown Source)
 at java.lang.Thread.run(java.base@9-internal/Thread.java:835)
Caused by: java.lang.NoClassDefFoundError: io.netty.buffer.ByteBufAllocator (initialization failure)
 at java.lang.J9VMInternals.initializationAlreadyFailed(java.base@9-internal/J9VMInternals.java:141)
 at io.netty.channel.DefaultChannelConfig.<init>(DefaultChannelConfig.java:56)
 at io.netty.channel.DefaultChannelConfig.<init>(DefaultChannelConfig.java:69)
 at io.netty.channel.socket.DefaultServerSocketChannelConfig.<init>(DefaultServerSocketChannelConfig.java:48)
 at io.netty.channel.socket.nio.NioServerSocketChannel$NioServerSocketChannelConfig.<init>(NioServerSocketChannel.java:195)
 at io.netty.channel.socket.nio.NioServerSocketChannel$NioServerSocketChannelConfig.<init>(NioServerSocketChannel.java:193)
 at io.netty.channel.socket.nio.NioServerSocketChannel.<init>(NioServerSocketChannel.java:87)
 at io.netty.channel.socket.nio.NioServerSocketChannel.<init>(NioServerSocketChannel.java:72)
 at java.lang.J9VMInternals.newInstanceImpl(java.base@9-internal/Native Method)
 at java.lang.Class.newInstance(java.base@9-internal/Class.java:1954)
 at io.netty.channel.ReflectiveChannelFactory.newChannel(ReflectiveChannelFactory.java:38)
 ... 21 more
Caused by: java.lang.UnsupportedOperationException: The method has not yet been implemented for now
 at java.lang.invoke.MethodHandles.privateLookupIn(java.base@9-internal/MethodHandles.java:1538)
 at java.util.concurrent.atomic.Striped64$1.run(java.base@9-internal/Striped64.java:390)
 at java.util.concurrent.atomic.Striped64$1.run(java.base@9-internal/Striped64.java:387)
 at java.security.AccessController.doPrivileged(java.base@9-internal/AccessController.java:638)
 at java.util.concurrent.atomic.Striped64.<clinit>(java.base@9-internal/Striped64.java:386)
 at io.netty.util.internal.PlatformDependent.newLongCounter(PlatformDependent.java:318)
 at io.netty.buffer.PoolArena.<init>(PoolArena.java:67)
 at io.netty.buffer.PoolArena$HeapArena.<init>(PoolArena.java:671)
 at io.netty.buffer.PooledByteBufAllocator.<init>(PooledByteBufAllocator.java:236)
 at io.netty.buffer.PooledByteBufAllocator.<init>(PooledByteBufAllocator.java:187)
 at io.netty.buffer.PooledByteBufAllocator.<init>(PooledByteBufAllocator.java:176)
 at io.netty.buffer.PooledByteBufAllocator.<init>(PooledByteBufAllocator.java:162)
 at io.netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:143)
 at io.netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:79)
 at io.netty.buffer.ByteBufAllocator.<clinit>(ByteBufAllocator.java:24)
 ... 31 more
IntellijIDEA can be downloaded from [here]( I am using the community edition. My OpenJ9 --version is
openjdk 9-internal
OpenJDK Runtime Environment (build 9-internal+0-adhoc.jenkins.openjdk)
Eclipse OpenJ9 VM (build 2.9, JRE 9 Linux amd64-64 Compressed References 20170915_6 (JIT enabled, AOT enabled)
J9VM - cea1ed7
JIT - cea1ed7
OMR - 617de12
OpenJDK - 83f5cd0 based on )",14
19,42,Strange performance issues with OpenJ9 in this jmh bench...,"[I'm creating a jmh version of the benchmarks]( of [The computer language benchmarks game]( and I decided to try it out comparing OpenJ9 to Zulu9 from azul. Zulu9's performance is around 2600ms/op on my system, but OpenJ9 shows some strange performance issues where it slows down with every successive warmup iteration:
Zulu9 - sbt ""jmh:run -i 10 -wi 20 -f1 -t1 -r 15 -jvmusr/lib/jvm/zulu-9/bin/java""
[info] # Run progress: 0.00% complete, ETA [info] # Fork: 1 of 1
[info] # Warmup Iteration 1: 2630.687 ms/op
[info] # Warmup Iteration 2: 2780.907 ms/op
[info] # Warmup Iteration 3: 2630.115 ms/op
[info] # Warmup Iteration 4: 2587.016 ms/op
[info] # Warmup Iteration 5: 2504.948 ms/op
[info] # Warmup Iteration 6: 2566.648 ms/op
[info] # Warmup Iteration 7: 2537.053 ms/op
[info] # Warmup Iteration 8: 2500.211 ms/op
[info] # Warmup Iteration 9: 2576.959 ms/op
[info] # Warmup Iteration 10: 2517.836 ms/op
[info] # Warmup Iteration 11: 2514.588 ms/op
[info] # Warmup Iteration 12: 2508.471 ms/op
[info] # Warmup Iteration 13: 2548.678 ms/op
[info] # Warmup Iteration 14: 2529.385 ms/op
[info] # Warmup Iteration 15: 2508.744 ms/op
[info] # Warmup Iteration 16: 2475.521 ms/op
[info] # Warmup Iteration 17: 2518.160 ms/op
[info] # Warmup Iteration 18: 2572.912 ms/op
[info] # Warmup Iteration 19: 2605.698 ms/op
[info] # Warmup Iteration 20: 2556.147 ms/op
OpenJ9 - sbt ""jmh:run -i 10 -wi 20 -f1 -t1 -r 15 -jvmhome/mhammons/jdk-9+181/bin/java""
[info] # Run progress: 0.00% complete, ETA [info] # Fork: 1 of 1
[info] # Warmup Iteration 1: 36902.857 ms/op
[info] # Warmup Iteration 2: 41640.554 ms/op
[info] # Warmup Iteration 3: 49802.187 ms/op
[info] # Warmup Iteration 4: 59686.587 ms/op
[info] # Warmup Iteration 5: 69178.086 ms/op
[info] # Warmup Iteration 6: 78664.955 ms/op
...
As you can see, OpenJ9 starts off markedly slower than Zulu9. But what's more concerning is that instead of improving in performance during the warmup phase as is to be expected, the subsequent warmup iterations grow slower and slower on OpenJ9.
The benches were compiled with openjdk 8, and run with a forked jvm by the jmh harness. You can invoke the benches and indicate the jvm to be used to run them with the following command:
sbt ""jmh:run -i 10 -wi 20 -f1 -t1 -r 15 -jvm path/to/jvm""
JVM arguments can be supplied with an added -jvmArgs argument. I did this with -Xjit:verbose to test that jitting was occurring, and it was, so this slowdown is puzzling. Another thing I noted while running this bench is that although it is designed to use as much threading as the system's cpus will allow for, half or less of my cpu was unused with OpenJ9.",https://github.com/eclipse-openj9/openj9/issues/42,closed,markehammons,perf,tajila,,"Bug Title: Strange performance issues with OpenJ9 in this jmh bench...
Bug Description: [I'm creating a jmh version of the benchmarks]( of [The computer language benchmarks game]( and I decided to try it out comparing OpenJ9 to Zulu9 from azul. Zulu9's performance is around 2600ms/op on my system, but OpenJ9 shows some strange performance issues where it slows down with every successive warmup iteration:
Zulu9 - sbt ""jmh:run -i 10 -wi 20 -f1 -t1 -r 15 -jvmusr/lib/jvm/zulu-9/bin/java""
[info] # Run progress: 0.00% complete, ETA [info] # Fork: 1 of 1
[info] # Warmup Iteration 1: 2630.687 ms/op
[info] # Warmup Iteration 2: 2780.907 ms/op
[info] # Warmup Iteration 3: 2630.115 ms/op
[info] # Warmup Iteration 4: 2587.016 ms/op
[info] # Warmup Iteration 5: 2504.948 ms/op
[info] # Warmup Iteration 6: 2566.648 ms/op
[info] # Warmup Iteration 7: 2537.053 ms/op
[info] # Warmup Iteration 8: 2500.211 ms/op
[info] # Warmup Iteration 9: 2576.959 ms/op
[info] # Warmup Iteration 10: 2517.836 ms/op
[info] # Warmup Iteration 11: 2514.588 ms/op
[info] # Warmup Iteration 12: 2508.471 ms/op
[info] # Warmup Iteration 13: 2548.678 ms/op
[info] # Warmup Iteration 14: 2529.385 ms/op
[info] # Warmup Iteration 15: 2508.744 ms/op
[info] # Warmup Iteration 16: 2475.521 ms/op
[info] # Warmup Iteration 17: 2518.160 ms/op
[info] # Warmup Iteration 18: 2572.912 ms/op
[info] # Warmup Iteration 19: 2605.698 ms/op
[info] # Warmup Iteration 20: 2556.147 ms/op
OpenJ9 - sbt ""jmh:run -i 10 -wi 20 -f1 -t1 -r 15 -jvmhome/mhammons/jdk-9+181/bin/java""
[info] # Run progress: 0.00% complete, ETA [info] # Fork: 1 of 1
[info] # Warmup Iteration 1: 36902.857 ms/op
[info] # Warmup Iteration 2: 41640.554 ms/op
[info] # Warmup Iteration 3: 49802.187 ms/op
[info] # Warmup Iteration 4: 59686.587 ms/op
[info] # Warmup Iteration 5: 69178.086 ms/op
[info] # Warmup Iteration 6: 78664.955 ms/op
...
As you can see, OpenJ9 starts off markedly slower than Zulu9. But what's more concerning is that instead of improving in performance during the warmup phase as is to be expected, the subsequent warmup iterations grow slower and slower on OpenJ9.
The benches were compiled with openjdk 8, and run with a forked jvm by the jmh harness. You can invoke the benches and indicate the jvm to be used to run them with the following command:
sbt ""jmh:run -i 10 -wi 20 -f1 -t1 -r 15 -jvm path/to/jvm""
JVM arguments can be supplied with an added -jvmArgs argument. I did this with -Xjit:verbose to test that jitting was occurring, and it was, so this slowdown is puzzling. Another thing I noted while running this bench is that although it is designed to use as much threading as the system's cpus will allow for, half or less of my cpu was unused with OpenJ9.",14
